
Boahji	pole-star
nivssas	short-tempered
nivssat	tinder (made of čadna)
nivssihit	get angry (of one who cannot stand much)
njabas	slipped down (of belt); one whose belt is hanging down on his hips or the collar of a pesk on his shoulders
njabbet	lay back oneˈs ears (e.g. horse)
njabbi	female reindeer with antlers sloping a little back; man with his cap on the back of his head
njaccastit	dimin. corresponding to njâʒˈʒot
njaddit	(as last part of compounds:) taste so-and-so
njagagit	become stooping; get aslant
njagas	stooping (of the old); standing aslant
njagu-	stooping (of the old); standing aslant
njahkahastit	hiccup
njahkalit	njâkkât hurriedly
njahkan	geneigt (z.B. Baum)
njahkanas	hiccup
njahkastit	den Schlucken haben
njahkastit	hiccup
njahpas	the state of things when a fish-hook is inserted (sic) in the fish although the fish has not taken it
njahpastit	catch fish by hooking them underneath
njahpit	which slips easily
njahppasit	be twitched or jerked and held fast
njakkazastit	hiccup (= njâk(kâ)kâsˈtet)
njakčáhit	walk leaning back or with one's head thrown back (= njâvčotit)
njalaidallat	try to swallow something dry by washing it down with a little liquid
njalddestit	dimin. of njâlˈdet in its proper diminutive sense
njalddistit	dimin. of njâlˈdet in an intensive sense; especially used in sense of: start off at a great pace
njalddán	one who is very apt to njâlˈdet (especially of someone who is suspected of stealing reindeer calves)
njalgat	get the hair or feathers violently scraped off
njalggiidit	begin to njâlˈgât
njalkasit	lose oneˈs foothold and slip
njalkkas	hiccuping
njalkkas	slippery (= njâlakâs)
njalkkasnuvvat	become (more) slippery
njalkkastit	(lose oneʼs foothold and) slip
njalkkastit	hiccup (= njâk(kâ)kâsˈtet)
njalla	small storehouse built on a single high post
njallat	flake off; get loose and peel off
njalle	auf einem Pfahl / vier Pfählen stehender Speicher
njallet	(impers.) cause the water in a river to rise a little
njalli	the condition in which the bark is loose on the wood
njalli-	(in comp.) very slippery
njallut	put a small patch on a garment made of skin or on footwear
njalodit	contin. of njâllot
njalonas	small patch on skin clothing or footwear
njalostat	small patch on skin clothing or footwear
njalsat	slip down (of e.g. skin leggins)
njalssagit	become njâlsâs
njaláhas	slippery
njaláhastit	lose oneˈs foothold and slip
njalččidit	suck and soften with saliva (= šnjâlčedit)
njamadit	suck themselves (of cows)
njamahallat	freq. of njâmâtit
njamahit	caus. of njâmmât
njamastuvvat	want to suck
njameš	who keep on wanting to njâmmât
njamistit	njâmmât once
njammat	säugen
njammedit	constantly drink (spirits)
njammi	one who sucks
njammot	shorter passive of njâmmât
njammá	sucking lamb
njamus	motherˈs milk; coagulated milk kept in the fourth stomach of a calf
njartadit	caus. of njârˈtât
njaskasit	happen to be torn off; happen to be carried away
njaskkastit	njâsˈkot a little or once
njaskkohat	place where something has been nibbled or torn off; twigs from which the reindeer have scraped the leaves
njassat	slip down (of e.g. skin leggins)
njattas	evil-smelling; which tastes very nasty (food that has gone bad)
njavgat	smooth (of hair and of an animalˈs coat)
njavge	animal (esp. a reindeer or a dog) with a smooth coat
njavggodit	get smooth (of hair); get dragged along (behind the reindeer); begin to run full speed
njavgguhit	wear clothes which do not look very bulky
njavket	make a sloping cut at the end of something
njavkkil	with a njâwˈke on it
njavvet	lay back oneˈs ears (e.g. horse) (= njâbˈbit)
njavvi	small rapids in a river
njavvái	with numerous small rapids
njavččagit	become njâvčâs
njavččil	(constantly) bent or hanging back(wards)
njavččuhit	walk leaning back or with one's head thrown back
njazzasit	get violently torn open (e.g. a wound)
njađis	join made by tacking or lashing
njađđásit	happen to get or be able to be tacked or lashed (together) etc.
njaŋgat	fall or lie down and remain lying full length
njaŋggagit	become njâŋgâs; also die
njaŋggihit	mom. of njâŋˈgât
njaŋggiidit	straighten out (only of living creatures)
njaŋggo-	lying full lenght (only of things) (= njaŋgŏ-)
njaŋgguhit	go with outstretched tail (of fox and wolf)
njaŋgát	lie or hang full length
njeaccagit	become njǣʒʒâs
njeaccahit	go grimacing (= njæʒʒotit)
njeaccas	grimacing (of a person)
njeaccuhit	go grimacing
njeahcet	a species of Carex which forms tussocks and grows on bogs (= miekˈtâ)
njeajuhit	caus. of njæggjot
njeakcasit	get out of shape; happen to hang down in every direction; fall forward or to one side
njeakci	Lapp manˈs cap which has no feathers or other padding in it and therefore assumes all sorts of ugly shapes
njealjadastot	shorter passive of njælljădâsˈtet
njealjit	sea-going boat with four pairs of oars
njealját	fourth
njealjáš	the figure four
njeallje	four
njearri	a shallow and comparatively large njâvve
njearrái	with many njærres (of a river); like a njærre (of a rapid)
njeavccagit	get out of shape (so that it resembles a njækˈce)
njeavccas	which is out of shape (resembling a njækˈce)
njeavdi	a sort of fine grass
njeazzasit	get torn open so that it gapes (e.g. a wound); go somewhere grimacing
njeazzut	grimace several times or smile maliciously
njeazzut	in a grimacing position (adv.)
njeazzáhit	go grimacing (= njæʒʒotit)
njeađgat	drift over (road or track)
njeađgga	drifting snow which gets blown up from the ground
njeađggádat	weather when the wind blows up the snow so that the road or tracks get covered
njeađggáskit	begin to njæđˈgât
njeađgi	(extremely) apt to njæđˈgât
njeaššagit	become njǣššâs
njeašši	wet or sour land
njeaššut	press down the vegetation or the snow with the feet and (part of) the body
njeccodit	njæʒˈʒot now and then
njeccon	one who has a constant tendency to njæʒˈʒot
njejohat	place where the grass has been laid flat by the wind or where reindeer moss has been dug up from under the snow
njelješ	the figure four
njelljii	four times
njezzet	twist oneˈs face into grimace or malicious smile
njeđgot	get covered up (by snow blown up from the ground; of tracks and road)
njiedjalit	go rapidly down; begin to go down; begin to sink
njiehcahas	the marrow bone of the čæwˈǯa (of the hind leg)
njiehcá	sodden old tree; sodden billet (thick piece of wood) (= njieʒâk)
njiejahit	transport something in small quantities or loads down a hill
njielahat	place in a rapid where the water draws down anything that gets there; whirlpool
njielan	glutton
njielastat	(a single) swallow
njielastit	swallow once
njiellasaddat	freq. of njiellâsit
njiellasit	happen to be drawn along (by a waterfall)
njiellat	swallow; draw (of waterfalls and rapids)
njiellu	top part of the throat (inside); current at the lower end of a pool just above or in a rapid; etc.
njieluheapme	which draws badly (of a spinning-wheel; of a stove)
njieluhuvvat	become njielotæbmĕ etc.
njierrá	(ei LpDict)
njiezat	sodden old tree; sodden billet (thick piece of wood)
njigaidit	constantly njikkot
njiganas	(a single) whining or whimpering sound
njigodit	contin. of njikkot
njigádit	mom. of njikkot
njihkot	winseln (von Hunden und jungen Hündchen)
njillot	shorter passive of njiellât
njimaidit	be whimpering a little
njiman	one that continually makes little whimpering sounds
njimanas	(a single) little whimpering sound
njimma	little whimpering sound
njimmat	whimper a little
njirdot	(ei LpDict)
njirgalit	discharge a jet of watery excrement
njirgehit	(once) have diarrhoea
njirran	place where there has been an avalanche (of stones); steep scree with no vegetation among the stones
njirro	weibliches Renkalb
njirru	fully grown female reindeer...; female reindeer which is very unmanageable; woman who is always scolding
njirttastat	fastening by which a broken earthenware or wooden utensil has been mended
njirtut	fasten together an earthenware or wooden utensil which has got broken
njirvi	soaked skin garment
njiskkastit	take a little bite; pilfer once
njiskut	take little bites or little things; pilfer
njivkkihit	mom. of njiwˈket
njivli	slime (mucus or green scum)
njivlla	covered with slime; slime (mucus or green scum)
njivllihit	pass quickly without touching anything or so that it could not be stopped (of something slimy)
njivnnjaiduvvat	become full of or covered with njiwˈdnjâgâk (plur. of njiwnjâ) (= njiwnjâgit)
njivžulit	quickly flare up; dash off with lightning speed
njivžžanas	flaring flame or tongue of fire
njivžžardit	flicker (fire outdoors)
njivžžihit	mom. of njiwˈǯot
njivžžodit	contin. of njiwˈǯot
njivžžádit	mom. of njiwˈǯot
njiđđat	(ei LpDict)
njiška	end or narrow piece which projects from something
njižži	animalˈs teat
njoahcudit	caus. of njoaccot
njoahtat	stick to something when touched (e.g. of fat)
njoaiddu	gently sloping hill or slope
njoaidduiduvvat	gradually become more gently sloping (speaking of the terrain)
njoaiddul	with an even (slight) incline (of terrain)
njoaiddus	gently sloping
njoaidu	gently sloping hill or slope (= njoaido 1)
njoaidut	become gently sloping
njoallut	lick
njoalostit	lick a little
njoalppagit	become njoalpâs
njoalput	(at the moment) in a slipped down condition (especially of belt)
njoalpát	stand or sit with oneˈs belt down on oneˈs hips
njoamihit	mom. of njoammot (= njoamadit)
njoammelsuoidni	Equisetum arvense (and possibly other species of horsetail with close-growing whorls)
njoammil	Lepus timidus (hare)
njoammudit	cause a disease to infect; give someone a disease
njoamádit	mom. of njoammot
njoara	state of resting of natatory birds; more rarely: sealˈs state of rest
njoaradit	contin. of njoarrât; often: pour out coffee
njoargut	of a garment: hang so that the water may run off (= njuorˈgot)
njoarosteaddji	pres. part. of njoarŏstit; a person whose special work it is to lasso reindeer
njoarrat	come out of the water (of natatory birds); manage to get onto something (of someone who has fallen into the water)
njoarrat	pour (out)
njoavdnja	(ei LpDict)
njoazan	a slow person or animal
njoađvudit	caus. of njoađˈvot
njohcut	catch fish with a noose of thin root fibre or thin string
njoiddosmit	become more gently sloping (of a hill etc.)
njoiddosmuvvat	become more gently sloping (of a hill etc.) (= njōidusmit)
njolgalit	drive at a jog-trot (behind a reindeer or horse)
njolggiidit	begin to go at a jog-trot
njolggástit	go at a jog-trot
njolgi	jog-trot
njolgidit	be going at a jog-trot
njolgái	which is good at going at a steady jog-trot
njollolas	apt to lick
njolodit	contin. of njoallot
njolodit	lick oneself
njolvut	become njolvâs (= njolvâgit); walk or go somewhere like a njolˈve
njolvvagit	become njolvâs
njolvvihit	suddenly njolˈvot
njomodit	just be up or be out and about (of sick and weak persons)
njorostallat	freq. of njoarŏstit
njorostat	a single throw of the lasso
njorret	pour (out) (once)
njovggiidit	begin to go in a flock; multiply very much
njozastit	njoccot once
njozádit	mom. of njoccot
njuhttet	smear (something on something else)
njuikestat	a single jump; as far as one can jump
njuikkodit	contin. of njuiˈkot
njuikkuhit	weave komag-bands in one colour or with parallel stripes with a blue zigzag stripe on a red ground
njukča	Cygnus (swan)
njukčamánnu	old name for March
njulggodit	contin. of njuolˈgot
njunnesurret	make a zigzag line or zigzag ornamentation
njunnet	try to smell
njunnádas	baggage which is put in the nose of the kjerris
njunnádit	get offended
njunnáduvvat	get offended (= njunnadit)
njunuhit	put the rein or lasso round the muzzle of a reindeer
njunásiid	trimmed by the head (of boat)
njuobahat	place where the seine-net is drawn ashore
njuohcat	get soft from being kept too long (of fish)
njuohcu	(ei LpDict)
njuohpa	with slippery ice under the snow
njuohpahat	place where one is likely to slip (due to ice under the snow)
njuohpat	draw the seine net right onto the shore
njuohtat	spread (out) thinly (something which has been smeared on thickly)
njuokčamastit	put a tongue into (a belt buckle) or clapper into (a bell); spread gossip
njuolgadit	cause to njuolˈgât
njuolgat	straight (adj.)
njuolggadit	take the shortest way or the short cut
njuolggašit	consider (too) straight
njuolggehit	suddenly straighten out
njuolggus	slightly or too little curved; which goes straight (driving-reindeer); straight (to go by); etc.
njuolggut	upright person; which is absolutely straight
njuolggá	direct (adv.)
njuolgut	in an extended (sic) condition
njuolgát	lie outstretched; stand straight
njuolla	arrow
njuolvut	become njuolvâs (= njuolvâgit)
njuolvvagit	become njuolvâs
njuolvvas	weak (of persons and animals)
njuolvá	term of abuse for a person one considers weak
njuorat	reindeer calf which cannot yet accompany the mother very well; (in compounds) newborn and helpless
njuordásit	happen to slip off; be unable to resist
njuorggis	gristle
njuorjjot	Lapp brogue with the bottom of sealskin
njuorju	Phocidae (seal)
njuorranaddat	freq. of njuorrânit; feel reluctant to
njuorraneapmi	the condition of becoming moved (especially relig.) or of beginning to feel pity
njuorvadit	caus. of njuorˈvât
njuorvi	something which is soft and pliable; soft and pliable (= njuorvâs)
njuorvvagit	become njuorvâs
njuoršu	big blazing (bon)fire; (big) flames
njuoršut	blaze fiercely (of a big fire)
njuorššagit	become njuoršâs
njuorššas	a great blazing
njuorššas	which burns with a great flame (of fire)
njuoskadahttit	(have the misfortune) to get something wet
njuoskat	get wet
njuoski	which easily gets wet through (= njuosˈkel)
njuoskil	which easily gets wet through
njuoskkadas	something for wetting with
njuoskkadat	wet weather
njuoskkadit	contin. of njuosˈkât
njuoskkas	wet; raw
njuoskkašit	consider wet or raw
njuoskkistit	feel wet; give out moisture or liquid
njuovadeapmi	killing (for food)
njuovadit	contin. of njuovvât
njuovahallat	happen to be killed (for food)
njuovahat	killing place (sic)
njuovan	butcherˈs knife; one who does a great deal of killing for food (sic)
njuovildit	be perpetually killing (of a person who seems to kill too many animals)
njuovu	slime on fish
njuovunaga	messed with fish slime
njuovus	something to be killed (for food) or skinned
njuovvat	kill (animals for food) (sic); skin (using a knife)
njuovvi	good at killing or skinning
njuovvi	the person who kills or skins
njuovčča	tongue
njuovžil	which is easily able to njuowˈǯât
njuovžut	blaze (of fire)
njuozat	soft fish (which has been kept too long)
njuozzilit	subit. of njuoʒˈʒet
njurget	give a single warbling or whistling sound
njurggan	whistle
njurgganas	whistle
njurggohallat	whistle (a tune)
njurggádit	mom. of njurˈgot
njuskkiidit	feel wet (to the touch); taste raw
njuvgat	very short-haired
njuvggadit	contin. of njuwˈgât
njuvggat	kurz- und glatthaarig
njuvvat	(ei LpDict)
njuvvot	shorter passive of njuovvât
njágaldahttit	caus. of subit. njākkâlit (from njākkât)
njágan	one who habitually gets on by cunning
njággu	reindeer (us. female) with antlers sloping backward
njáhcu	thaw
njáhkalit	steal away; go leisurely away
njáhkat	sich an etw. heranschleichen
njáhká	Lota lota (burbot)
njáide	reindeer whose antlers are rather short and very much sloping backwards
njáiggošit	consider njaiˈgo
njáika	irregularly projecting corner of a garment or the like
njáikkagit	get (a) projecting corner(s)
njáikkal	with one or more projecting corners or irregularities
njáikkas	unevenly shaped or defined
njákkas	which has slender antlers sloping backwards (chiefly of female reindeer)
njálbmadit	taste food; eat up
njálbmat	make a &quot;mouth&quot; to something (e.g. a sack)
njálbmolas	who talks in a swelled-headed way (= njalˈbmogâs)
njálbmugas	who talks in swelled-headed way
njálbmái	who has a large mouth
njáldit	eat slowly (of persons or animals)
njálggiidit	taste sweet; have a pleasant taste
njálgut	become sweet or tasty
njálgát	sweetly
njálla	Canis lagopus (arctic fox)
njállet	hunt or catch arctic foxes
njálmmaskas	quarrelsome
njálmmeheapme	who does not behave or talk in a swelled-headed way; (of scythe) which cuts little (grass) at a time
njálmmehuvvat	become less swelled-headed in one's behaviour or talk; (of scythe) begin to cut less (grass) at a time than before
njálmmádat	part of the river or fjord near its mouth
njálmmálaš	oral
njámahat	place where one has swept something together
njámas	coiled up state (= njāmmâgâs)
njámmat	coil up (rope etc.); brush or sweep together
njámmodit	behave in a very loving and friendly way towards
njámmot	shorter passive of njāmmât
njárbbadas	something which can be added to dilute something else
njárbbodit	become njarˈbâd
njárbbot	dünn werden
njárbbášit	consider njarˈbâd
njárbe	short-haired animal (esp. of reindeer and dog)
njárbesoaivi	reindeer whose antlers have only a few branches
njárbudit	caus. of njarbˈot
njárbut	become njarˈbâd
njárčá	muscular partition (the wall of the abdomen and the diaphragm)
njárččá	Fell am Unterleib des Rens
njávežastit	be very slow in everything one does (of women)
njávggas	mewing (of or like a cat)
njávggádit	mom. of njawˈgot
njávgit	mew (a cat)
njávgut	mew (of or like a cat)
njávkat	stroke or feel with the hand or fingers; caress
njávvi	the long hair under the throat of a male reindeer
njázudit	become a thaw
njáđášit	consider njađđe
njáđđudit	caus. of njađđot
njáđđut	become njađđe
njáŋgalit	knock or throw down something inanimate so that it lies full length
njáŋggas	long and ungainly (of things)
njáŋggo-	lying full lenght (only of things)
njáŋgát	lie or hang full length (only of things)
njáškkas	very tall and thin (only of persons)
njáškát	lie full length (one who is very tall and thin)
noa	in the expr. noa juo ˈyesˈ
noaidegázzi	a Lapp sorcerer’s attendant spirits; also of ghosts which the sorcerer uses to bring evil upon people
noarsa	(ei LpDict)
noarvat	put a cross-bar or cross-piece on something
noarvádit	put a cross-bar or cross-piece on something
noastalit	noasˈtet several times
noastta	place where the seine is drawn ashore
noavkalit	eat a great deal greedily and quickly
noavkkádit	mom. of noawˈkot; often: eat up everything
noađáskit	go off with a load on one's back
noađástit	carry as a load
noađđádit	make into a load and shoulder it
nohkadit	caus. of nokkât
nohkameahttun	unending; imperishable (chiefly relig.)
nohkastit	sleep a little while
nohkavaš	transitory; corruptible (relig.); passing
nohkihit	suddenly fall asleep
nohkkadallat	freq. of nokˈkâdit
nohkkadit	cause to fall asleep or to sleep; lull to sleep
nohkkat	fall asleep; go to bed; sleep
nohkkivaš	transitory; corruptible (relig.); passing (= nokkâvâš)
nollagit	become nollâs
nollas	adjective corresponding to nolˈle
nollihit	suddenly sit down so that one's clothes hang right down on the ground
nolliidit	get into the position denoted by nolˈlat
norahat	pack-ice (on or near a river); stretch of river-ice in the autumn...
noras	the marrow-bone above the čuoǯˈǯâmâs in the hind leg or above the dabˈbâ in the foreleg
norastit	dimin. of norrât
nordadit	norˈdât once
norddadit	contin. of norˈdât
norddahallat	get knocked or pushed (by persons or domestic animals)
norddahit	caus. of norˈdât; chiefly: go stamping about
norke	reindeer which has both its antlers broken off
norki	reindeer which has both its antlers broken off
norkkagit	get both antlers broken off; get quite spoilt (of knife or axe)
norkkas	which has got both its antlers broken off
norkut	get both antlers broken off (of reindeer)
noskit	give little barks (of a dog before it begins to bark properly)
noskkašit	give little barks now and then
noskkihit	mom. of nosˈket
nođus	wound up in a ball (adv.); wound up condition
nođđu	ball (of thread etc.); wooden block for winding up the salmon line
nuba	in the expr. nu-bâ dieđost-ge ˈyes of courseˈ
nugo	like (= in the same way as); as
nuhkkalit	(ei LpDict)
nuhkuštit	chastise a child corporally without whipping or hitting (= dukkoštit)
nuissodit	contin. of nuoiˈsot
nulpet	shed its antlers (reindeer)
nulppagit	become hornless by shedding its antlers (of reindeer)
nulpu	male reindeer which has shed its antlers or has had them sawn or cut off
nummar	number
nuogis	(ei LpDict)
nuohtalaš	who knows many tunes
nuohtti	seine net
nuohttut	fish with a seine net
nuohttái	who knows many tunes
nuoladit	contin. of nuollât
nuolli	so weak that one seems hardly able to stand
nuolludit	caus. of nuollot
nuollut	become so weak that one hardly seems able to stand
nuolus	loose
nuondadit	caus. of nuonˈdât
nuorašit	consider (too) young
nuorbbahit	caus. of nuorˈbât
nuorra	jung
nuorra	young
nuorravuohta	youth
nuortalaš	Petsamo or Kola Lapp; Varanger Mountain Lapp
nuorti	(south-)east
nuortta-	(als erstes Glied in Zusammensetzungen) von Norden kommend od. nach Norden gehörend
nuortta-	in comp.: (south-)east
nuorttabuš	a little nuortâb
nuorttal	in or from the east
nuoskkášit	consider nuosˈke
nuoskudit	caus. of nuosˈkot
nuoskut	become nuosˈke
nuoská	uncleanly person
nuossadit	caus. of nuossât
nuovhlu	bit of cloth round something to make it fit tightly (e.g. a plug in a boat)
nuovve	Hanfabfall
nuovvut	get frayed (of rope)
nuovvái	frayed (of rope); short and very curly (of wool)
nuppástit	treat one or more individuals worse than others
nuppástuhttit	change (trans.)
nuppástus	change
nurddagit	become nurdâs
nurddas	thick on the side where the edge is (of axe)
nurdi	axe which is thick on the side where the edge is
nurki	corner of a house; projection of a mountain
nurrodat	youth
nursahuvvat	become nursâs (= nursâgit)
nurssagit	become nursâs
nurvui	with a great many colds or great deal of influenza
nurššagit	become nuršâs
nuvan	one who constantly expresses dissatisfaction with his share
nuvkalit	nod (to attract someoneˈs attention)
nuvkkihit	give a nod (to attract someoneˈs attention)
nuvsku	piece of rag or the like which is used instead of a wooden plug or cork
nuvsku	snuff
nuvttot	winter komag made of reindeer leg-skin
nuvvalas	apt to nuvvât
nuvvá	short-eared sheep
nuvzat	nag
nuvzzan	one who continually nags
ná	yes (in answers)
nábár	Bohrer
nábár	drill for drilling holes in wood; female reindeer whose antlers are slightly twisted at the tip
náddjil	which easily cuts into something
náddjodit	get cuts in several places; get sore
náddjot	shorter pass. of nāggjât
nádjasit	get damaged through being cut by something
nádjašuvvat	get damaged through being cut by something (= nāggjâsit)
nággehallat	be compelled to
nággu	Streit; Eigensinn
náhkkelaš	garment made of skin
náhkkádit	give one a dressing-down
náhkálaš	garment or other thing made of skin
náhpe	Nabel
náhpi	navel-string
náhpis	wood for a milkcup
náhpol	plug in a boat; penis
náhpolastit	put the plug into (obj.: boat)
náhppi	deep round wooden cup with a handle for milking female reindeer into
náhpáš	dimin. of napˈpe
náitalit	marry (intr.)
náitalstuvvat	want to marry (intr.)
náitit	marry (tr.)
náitot	shorter passive of naiˈtet
náladit	contin. of nāllât
nálahat	something which is cut off something else; stump of a horn or antler which has been cut off
nálat	reindeer with its antlers cut off
nálget	(impers.) make a river ice-free
nállasit	happen to be cut or sawn off; be able to be cut or sawn off
nállašuvvat	happen to be cut or sawn off; be able to be cut or sawn off (= nāllâsit)
nállo	Nähnadel
nállu	(an ordinary) round needle
námas	very sharp (for fine whittling); of a boy: who is very much taken with and flirting violently with (a girl)
námasmuvvat	become nāmâs
námmi	furry skin of a reindeerˈs antlers; (pl.) rough inner surface of the stomachs of ruminants
námonistit	be importunate or aggressive (especially of a persistent suitor)
nárbma	carpenterˈs gauge
nárpmastit	make lines with a carpenterˈs gauge on
nárri	angry woman; female reindeer which is very restive on the lasso
nárri	as much as properly belongs or is needed
náskál	Ahle
náskál	awl (curved)
náste	name of a dog with a white spot on the back of its neck or on its forehead
návdet	go hunting beasts of prey
návdut	offer pressingly; eat (although one has had enough); eat (in joke)
návhllahat	in: bᴂlˈljĕ-nāwhlâtâk: sharp pain in the ear
návllečalbmi	reindeer with a black spot on the white of its eye
návllis	material for a tree-nail
návrraš	turnip
náđodit	contin. of nađđot
náđuhit	cause to nađđot
náššon	nation
náššuvnnalaš	national
o	the letter ’o’
oabbá	sister
oaddi	moping and silent
oaddudit	caus. of oadˈdot
oaddut	become moping and silent
oaffaruššat	contribute to the offertory; sacrifice
oaggasit	get caught on the hook (of a fish)
oahci	something which hinders or is a barrier to something
oahkku	which is a quick and good walker (of horse)
oahkuladdat	oakkot a great deal
oahkulit	begin to oakkot
oahpaheaddji	teacher
oahpásmit	become acquainted with
oahpásmuvvat	become acquainted with (= oappasmit)
oahtta	small creatures in the water upon which fishes feed
oahttu	eight of spades
oaidnemeahttun	invisible
oaidnil	second-sighted
oaidu	a species of seal
oainnat	you see
oainnašit	several times look a little
oainnus	which can be seen at a long distance; easy to see; view
oainnádat	light enough to see things at some distance
oaittáskit	pull oneself together (to work)
oaivadit	give advice and instructions; give someone the idea of doing something
oaiveluš	head-end (e. g. of a skin rug)
oaivil	opinion; meaning
oaivugas	which keeps in front and leads the rest (of reindeer); self-willed
oaivvahat	ball (of thread etc.)
oaivvahuvvat	get a little drunk (= oaiˈvaduvvât)
oaivveheapme	stupid
oaivvesvuohta	the state of being not quite sober
oaivvildit	think (be of opinion); suppose
oaivvát	with the head turned towards the person or thing in question
oaivádat	shoal of fish
oaiváduvvat	get a little drunk
oakkuhit	caus. of oagˈgot; help a child to oagˈgot
oalis	groove along the middle of the under-side of ski
oalistit	make an oales in (ski)
oallut	strip the bark off on two opposite sides of a log in order that the wood may dry
oallái	deep (of the main channel in a river)
oallásahttá	without oales
oalul	lower jaw
oamedovddolaš	who has a tender conscience
oamedovdu	conscience
oamiráhkesvuohta	selfishness
oamivánhurskkis	selfrighteous
oamážastit	seem to want to appropriate for himself; let it be understood that
oanehaš	a little while (= oanĕkâssii)
oanehažžii	(going) a short way
oanášit	consider short or too short
oapman	stove
oapmit	in old days
oaraheapme	who has not enough line-gear (only of persons)
oardnjudit	make very sensitive to cold
oarjjibuš	a little oarjeb
oarrajuolgi	trestle in enclosure for catching salmon
oarri	Sciurus vulgaris (squirrel); old name for one of the weeks
oarskieddu	snood on a fishing-line
oarstuddu	snood on fishing-line (= oar-skiedˈdo)
oartnjas	very sensitive to cold
oasehuvvat	become unhappy
oasti	buyer
oastil	apt to buy (= oasˈtalâs)
oastin	purchase
oastit	buy
oasttestit	dimin. of oasˈtet
oasttihit	caus. of oasˈtet
oastálas	apt to buy
oavlái	wide (of clothes)
oavnnjildit	follow someone or something at a distance
oavnnjistit	go or come (slowly) behind
oazis	barrier (of netting or small birch trees) across a river used when fishing
oazistit	put a barrier (of netting or small birch trees) across a river
oaččohas	something one has found without knowing who is the owner; strange reindeer in the herd; something one has got
oaččoheapme	who is not very good or lucky at getting (esp. by hunting or fishing)
oaččostit	dimin. of oaǯˈǯot; get a thrashing
oaččustit	dimin. of oaǯˈǯot; get a thrashing
oaččáiduvvat	get into good condition (of live stock); lose one's slimness
oaččástit	show sensual tendencies (in speech or behaviour)
oađihit	caus. of oađđet (esp. of looking after a child who is asleep)
oađástallat	sleep well and long
oađđit	sleep
oađđáhit	caus. of oađˈđat
oađđáladdat	sleep well and long (= oađastâllât)
oažži	flesh; musculature
oažžul	good or lucky at getting (esp. by hunting or fishing)
obbet	sew up something so that it forms a whole; (impers.) cloud over
obmui	where there are many miry holes
ofelaš	leader of an expedition
ofelaštit	be the leader of (persons) on a journey
oggolas	very much given to oagˈgot
ogodit	contin. of oakkot
ogohas	(ornamental) strap on the back of a driving-reindeer (= âvuhâs)
ogohat	tracks of reindeer
ogon	a wily and cunning one (only of persons)
ohcalas	apt to seek or search
ohcalas	occâlâs gieđâi: with one's hands (thrust) in one's bosom
ohcamuš	(the) having to search etc.; something to look for etc.; application
ohcu	search
ohkoladdalas	apt to run hither and thither looking for its calf (of female reindeer) (= ōkkulâkkĕs 1)
ohkolas	apt to oakkot
oidnolaga	not too far from each other to see each other
oidnostit	dimin. of oiˈdnut
ojodit	contin. of oaggjot
okcii	nine times
okkodit	contin. of oagˈgot
okkon	one who is very much given to oagˈgot
oktahat	one and the same
oktat	one and the same
oktedit	contin. of okˈtit
oktestit	dimin. of okˈtit
oktet	(ei LpDict)
oktii	(to) together; with ... to(wards) each other
okto	alone
olbmohuvvat	become deserted (of a farm)
olestuvvat	appear to be able to ollet
olgehit	be able to throw (something) such-and-such a distance
olgeš	good at throwing far
olggo-	in compounds: outer
olggos	out
olggubuš	who or which is a little farther out
olggut	child who wants to be out
olgo-	Aussenluft; aussen-
olgogollát	hypocrite
olgu	the outside world as opposed to inside the house
olju	oil
ollalit	reach each other (of animals which are tied up)
ollet	strip the bark off on two opposite sides of a log in order that the wood may dry (= oallot)
ollodat	aige olludâkkii: in the course of time
olloladdat	be very much engaged in doing what is denoted by oallot
ollái	illative postp. corresponding to olest
olodit	contin. of oallot
olugat	many (persons)
olus	many persons
olámuddu	reach
onddodit	contin. of oanˈdot
opmu	miry hole
oppal	bradawl (used for making holes in wood)
oppastuvvat	deteriorate through lying too long unskinned (of carcase)
ordet	make an edge lengthwise on something; plane away the edge of something
ordet	stay in the mountains with evil intentions (esp. of one who is suspected of stealing reindeer)
ordi	lengthwise edge of an object
ordái	with very prominent edges lengthwise
ore	stallion
ores	Männchen; männlich
oreš	Lapp from Troms county or Nordland (= oarˈjan)
orgel	organ
orodit	contin. of orrot
orot	constantly staying somewhere
orči	slender but in good condition (esp. of horse and reindeer)
orččas	slender but in good condition (esp. of horse and reindeer)
oržui	with many oarˈǯos
otnážii	untill today
otnážis	from today (onward)
ovcceš	(the figure) nine; the nine (of) (at cards)
ovcci	nine
ovccádas	ninth (part)
ovccádassii	ninthly; for the ninth time
ovdagiehta	the branch of a reindeer's antler which projects forward
ovdalgo	before
ovdamearka	example
ovdasii	as an omen or presage of
ovddaldastit	go towards and turn with someone; receive someone in an unfriendly way
ovddas	forward(s)
ovdeš	shank-skin of the foreleg of an animal
ovstalis	(from) farther east; (from) east (= nuorˈtâlist)
ovstta-	in compounds: east (= nuortâ-)
ovsttán	east wind
ovttas	together
ovttastahttit	unite (trans.)
ozadit	contin. of occât
ođasmit	be renewed
ođasmuhttit	renew
ođasmuvvat	be renewed (= ođâsmit)
ođasnaga	while the thing in question is still new
ođašit	consider something to be too new
ođđabeaivi	new year's day
ođđajahki	new year
ođđaliehku	tree which has been blown down but has not withered yet
ođđot	be used for lying and sleeping on or under (of a reindeer skin etc.)
